usp_category,usp_class,usp_drug,kegg_id_drug,drug_example,kegg_id_drug_example,nomenclature
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac,D07816,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac potassium,D00903,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac sodium,D00904,(JP17/USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,DG00754,fenoprofen,D02350,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,DG00754,fenoprofen calcium,D00968,(JAN/USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,flurbiprofen,D00330,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,flurbiprofen axetil,D01475,(JAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,flurbiprofen sodium,D02290,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,esflurbiprofen,D10254,(JAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen,D00126,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen piconol,D01122,(JP17/USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen aluminum,D04490,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen lysine,D06606,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen sodium,D09760,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,DG00241,indomethacin,D00141,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,DG00241,indomethacin sodium,D02110,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,DG00753,ketoprofen,D00132,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,DG00751,ketorolac,D08104,(INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,DG00751,ketorolac tromethamine,D00813,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,DG00758,meclofenamic acid,D02341,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,DG00758,meclofenamate sodium,D00169,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,DG00455,naproxen,D00118,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,DG00455,naproxen sodium,D00970,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,DG00455,naproxen etemesil,D10017,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam,D00127,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam betadex,D05511,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam cinnamate,D05512,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,DG00752,piroxicam olamine,D05513,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,DG00747,tolmetin,D02355,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,DG00747,tolmetin sodium,D00158,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,DG00811,hydromorphone,D08047,(INN)
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,DG00811,hydromorphone hydrochloride,D00839,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,DG00791,fentanyl,D00320,(JAN/USAN/INN)
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,DG00791,fentanyl citrate,D01399,(JP17/USP)
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,DG01341,levorphanol,D08123,(INN)
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,DG01341,levorphanol tartrate,D00841,(USP)
Analgesics,"Opioid Analgesics, Long-acting",methadone,DG00999,methadone,D08195,(BAN)
Analgesics,"Opioid Analgesics, Long-acting",methadone,DG00999,methadone hydrochloride,D02102,(JAN/USP)
Analgesics,"Opioid Analgesics, Long-acting",morphine,DG00810,morphine,D08233,(BAN)
